match_id,period,time_min,team,player_number,action_type,sub_type,result,start_x,start_y,end_x,end_y,attack_dir,metres_gained,end_metres_from_line,linebreak,possession_id,possession_start_reason,conceded_by,assist_number,phase_id,contact_outcome,freeze_frame
sample,1,18.0,ENG,,pass,,,40.9,42.9,28.9,43.3,1,-12.0,71.1,False,7,kick_return,,,,,
sample,1,22.0,ENG,,carry,,,0.0,34.9,9.8,35.4,1,9.8,90.2,False,8,lineout,,,,,
sample,1,22.0,ENG,,pass,,intercepted,9.8,35.4,9.2,42.5,1,-0.6,90.8,False,8,lineout,,,,,
sample,1,22.0,WAL,,carry,,,9.2,42.5,21.2,43.1,-1,-12.0,21.2,False,9,interception,,,,,
sample,1,22.0,ENG,,set_piece,lineout,success,0.0,34.9,,,,,,False,9,interception,,,,,
sample,1,22.0,WAL,,turnover_won,,,9.2,42.5,,,,,,False,9,interception,,,,,
sample,1,26.0,ENG,,carry,,,-0.0,35.1,3.8,35.1,1,3.8,96.2,False,10,penalty,,,,,
sample,1,26.0,WAL,,penalty_won,,,3.8,35.1,,,,,,False,10,penalty,ENG,,,,
sample,1,28.0,WAL,,kick,,,80.0,34.8,70.2,35.3,-1,9.8,70.2,False,11,penalty,,,,,
sample,1,28.0,ENG,,pass,,,70.2,35.3,70.9,42.7,1,0.7,29.1,False,12,kick_return,,,,,
sample,1,28.0,ENG,,pass,,,70.9,42.7,58.9,43.1,1,-12.0,41.1,False,12,kick_return,,,,,
sample,1,28.1,WAL,,penalty_kick,,,69.8,43.1,,,,,,False,10,penalty,,,,,
sample,1,31.0,WAL,,error,forward_pass,fail,41.9,35.2,,,,,,False,12,kick_return,,,,,
sample,1,31.0,WAL,,kick,,,50.0,35.0,40.2,35.4,-1,9.8,40.2,False,13,restart,,,,,
sample,1,31.0,ENG,,pass,,,40.2,35.4,40.9,42.9,1,0.7,59.1,False,14,kick_return,,,,,
sample,1,31.0,ENG,,pass,,,40.9,42.9,28.9,43.3,1,-12.0,71.1,False,14,kick_return,,,,,
sample,1,34.0,ENG,,carry,,,0.2,35.0,9.8,35.4,1,9.6,90.2,False,15,scrum,,,,,
sample,1,34.0,ENG,,pass,,,9.8,35.4,9.1,42.7,1,-0.7,90.9,False,15,scrum,,,,,
sample,1,34.0,ENG,,carry,,,9.1,42.7,20.9,43.1,1,11.8,79.1,False,15,scrum,,,,,
sample,1,34.0,ENG,,set_piece,scrum,success,0.2,35.0,,,,,,False,15,scrum,,,,,
sample,1,34.1,WAL,,sin_bin,,,,,,,,,,False,14,kick_return,,,,,
sample,1,37.0,ENG,,carry,,,0.3,35.1,9.7,35.3,1,9.4,90.3,False,16,lineout,,,,,
sample,1,37.0,ENG,,pass,,,9.7,35.3,9.1,42.4,1,-0.6,90.9,False,16,lineout,,,,,
sample,1,37.0,ENG,,carry,,,9.1,42.4,21.1,43.0,1,12.0,78.9,False,16,lineout,,,,,
sample,1,37.0,ENG,,set_piece,lineout,success,0.3,35.1,,,,,,False,16,lineout,,,,,
sample,1,37.1,ENG,,kick,,,21.1,43.0,60.5,38.1,1,39.4,39.5,False,16,lineout,,,,,
sample,1,37.1,ENG,,try,,,47.8,39.7,,,,,,False,15,scrum,,,,,
sample,1,37.1,ENG,,conversion_missed,,fail,,,,,,,,False,15,scrum,,,,,
sample,2,41.0,WAL,,kick,,,50.0,35.0,12.8,37.1,-1,37.2,12.8,False,17,kickoff,,,,,
sample,2,44.0,ENG,10,carry,,,20.0,35.2,29.8,34.7,1,9.8,70.2,False,18,kick_return,,,,,
sample,2,44.0,ENG,,pass,,,29.8,34.7,29.1,27.3,1,-0.7,70.9,False,18,kick_return,,,,,
sample,2,44.0,ENG,,carry,,,29.1,27.3,41.1,26.9,1,12.0,58.9,False,18,kick_return,,,,,
sample,2,48.0,WAL,,kick,,,99.8,35.0,90.2,34.6,-1,9.6,90.2,False,19,drop_out_22,,,,,
sample,2,48.0,ENG,,pass,,,90.2,34.6,90.9,27.3,1,0.7,9.1,False,20,kick_return,,,,,
sample,2,48.0,ENG,,pass,,,90.9,27.3,79.1,26.9,1,-11.8,20.9,False,20,kick_return,,,,,
sample,2,48.1,WAL,,drop_goal,,,89.3,27.0,,,,,,False,18,kick_return,,,,,
sample,2,53.0,WAL,,carry,,,99.8,35.2,92.2,34.5,-1,7.6,92.2,False,21,interception,,,,,
sample,2,53.0,WAL,,pass,,,92.2,34.5,92.9,28.6,-1,-0.7,92.9,False,21,interception,,,,,
sample,2,53.0,WAL,,carry,,,92.9,28.6,84.2,27.7,-1,8.7,84.2,False,21,interception,,,,,
sample,2,53.1,WAL,,pass,,,84.2,27.7,84.7,20.4,-1,-0.5,84.7,False,21,interception,,,,,
sample,2,53.1,WAL,,carry,,,84.7,20.4,75.9,20.0,-1,8.8,75.9,False,21,interception,,,,,
sample,2,58.0,WAL,,error,handling,fail,96.2,34.9,,,,,,False,21,interception,,,,,
sample,2,58.0,WAL,,carry,,,100.0,34.9,88.2,34.9,-1,11.8,88.2,False,22,penalty,,,,,
sample,2,61.0,ENG,,pass,,,99.8,35.0,90.2,34.6,1,-9.6,9.8,False,23,turnover_open,,,,,
sample,2,61.0,ENG,,pass,,,90.2,34.6,90.9,27.3,1,0.7,9.1,False,23,turnover_open,,,,,
sample,2,61.0,ENG,,pass,,,90.9,27.3,79.1,26.9,1,-11.8,20.9,False,23,turnover_open,,,,,
sample,2,61.0,ENG,,turnover_won,,,97.8,35.1,,,,,,False,22,penalty,,,,,
sample,2,67.0,WAL,11,carry,,,15.0,34.9,5.2,34.3,-1,9.8,5.2,False,24,lineout,,,,,
sample,2,67.0,WAL,2,pass,,,5.2,34.3,5.8,28.6,-1,-0.6,5.8,False,24,lineout,,,,,
sample,2,67.0,WAL,6,carry,,,5.8,28.6,-4.0,28.1,-1,9.8,-4.0,False,24,lineout,,,,,
sample,2,67.0,WAL,,set_piece,lineout,success,15.0,34.9,,,,,,False,24,lineout,,,,,
sample,2,67.1,WAL,6,try,,,-4.0,28.1,,,,,,False,24,lineout,,2,,,
sample,2,67.1,WAL,,conversion,,success,,,,,,,,False,24,lineout,,,,,
sample,2,71.0,WAL,,carry,,,100.0,34.9,88.2,34.9,-1,11.8,88.2,False,25,scrum,,,,,
sample,2,71.0,WAL,,set_piece,scrum,success,100.0,34.9,,,,,,False,25,scrum,,,,,
sample,2,71.0,WAL,,penalty_try,,,92.7,35.1,,,,,,False,24,lineout,,,,,
sample,2,75.0,ENG,,kick,,,50.0,35.0,59.8,34.6,1,9.8,40.2,False,26,restart,,,,,
sample,2,75.0,WAL,,pass,,,59.8,34.6,59.1,27.1,-1,0.7,59.1,False,27,kick_return,,,,,
sample,2,75.0,WAL,,pass,,,59.1,27.1,71.1,26.7,-1,-12.0,71.1,False,27,kick_return,,,,,
sample,2,75.0,WAL,,red_card,,,,,,,,,,False,25,scrum,,,,,
sample,2,78.0,WAL,,carry,,,99.8,35.2,92.2,34.5,-1,7.6,92.2,False,28,scrum,,,,,
sample,2,78.0,WAL,,pass,,,92.2,34.5,92.9,28.6,-1,-0.7,92.9,False,28,scrum,,,,,
sample,2,78.0,WAL,,carry,,,92.9,28.6,84.2,27.7,-1,8.7,84.2,False,28,scrum,,,,,
sample,2,78.0,WAL,,set_piece,scrum,success,99.8,35.2,,,,,,False,28,scrum,,,,,
sample,2,78.1,WAL,,pass,,,84.2,27.7,84.7,20.4,-1,-0.5,84.7,False,28,scrum,,,,,
sample,2,78.1,WAL,,carry,,,84.7,20.4,75.9,20.0,-1,8.8,75.9,False,28,scrum,,,,,
